"Literal",Code
"gouda",http://cedar.example.org/ns#ac-10302
"gouderak",http://cedar.example.org/ns#ac-11258
"goudriaan",http://cedar.example.org/ns#ac-10450
"goudswaard",http://cedar.example.org/ns#ac-10914
"graafstroom",http://cedar.example.org/ns#ac-10451
"graauw en langendam",http://cedar.example.org/ns#ac-10312
"grafhorst",http://cedar.example.org/ns#ac-10224
"graft",http://cedar.example.org/ns#ac-10484
"graft-de rijp",http://cedar.example.org/ns#ac-11417
"gramsbergen",http://cedar.example.org/ns#ac-11339
"grathem",http://cedar.example.org/ns#ac-11008
"grave",http://cedar.example.org/ns#ac-10165
"grevenbicht",http://cedar.example.org/ns#ac-10624
"grijpskerk",http://cedar.example.org/ns#ac-10244
"grijpskerke",http://cedar.example.org/ns#ac-10801
"grijpskerke en poppendamme",http://cedar.example.org/ns#ac-10801
"groede",http://cedar.example.org/ns#ac-11312
"groeneveld",http://cedar.example.org/ns#ac-10764
"groenlo",http://cedar.example.org/ns#ac-11094
"groesbeek",http://cedar.example.org/ns#ac-10616
"groet",http://cedar.example.org/ns#ac-10200
"groningen",http://cedar.example.org/ns#ac-10426
"gronsveld",http://cedar.example.org/ns#ac-10323
"groot-ammers",http://cedar.example.org/ns#ac-11205
"groote lindt",http://cedar.example.org/ns#ac-11042
"grootebroek",http://cedar.example.org/ns#ac-11337
"grootegast",http://cedar.example.org/ns#ac-11080
"grosthuizen",http://cedar.example.org/ns#ac-11271
"grouw",http://cedar.example.org/ns#ac-11409
"grubbenvorst",http://cedar.example.org/ns#ac-10176
"gulpen",http://cedar.example.org/ns#ac-11032
"gulpen-wittem",http://cedar.example.org/ns#ac-11032
"haaften",http://cedar.example.org/ns#ac-10125
"haage",http://cedar.example.org/ns#ac-10762
"haaksbergen",http://cedar.example.org/ns#ac-11435
"haamstede",http://cedar.example.org/ns#ac-10701
"haaren",http://cedar.example.org/ns#ac-11155
"haarlem",http://cedar.example.org/ns#ac-10357
"haarlemmerliede",http://cedar.example.org/ns#ac-10041
"haarlemmerliede en spaarnwoude",http://cedar.example.org/ns#ac-10508
"haarlemmermeer",http://cedar.example.org/ns#ac-11387
"haarzuilens",http://cedar.example.org/ns#ac-10737
"haastrecht",http://cedar.example.org/ns#ac-11049
"haelen",http://cedar.example.org/ns#ac-10321
"hagestein",http://cedar.example.org/ns#ac-10297
"halderberge",http://cedar.example.org/ns#ac-10397
"hallum",http://cedar.example.org/ns#ac-11284
"halsteren",http://cedar.example.org/ns#ac-10387
"haps",http://cedar.example.org/ns#ac-11283
"hardegarijp",http://cedar.example.org/ns#ac-11403
"hardenberg",http://cedar.example.org/ns#ac-10174
"harderwijk",http://cedar.example.org/ns#ac-10786
"hardinxveld",http://cedar.example.org/ns#ac-10167
"hardinxveld-giessendam",http://cedar.example.org/ns#ac-10167
"haren",http://cedar.example.org/ns#ac-11058
"haren en macharen",http://cedar.example.org/ns#ac-10044
"harenkarspel",http://cedar.example.org/ns#ac-10963
"harkstede",http://cedar.example.org/ns#ac-10249
"harlingen",http://cedar.example.org/ns#ac-10909
"harmelen",http://cedar.example.org/ns#ac-10183
"haske",http://cedar.example.org/ns#ac-10687
"haskerland",http://cedar.example.org/ns#ac-10022
"hasselt",http://cedar.example.org/ns#ac-10115
"hattem",http://cedar.example.org/ns#ac-10673
"havelte",http://cedar.example.org/ns#ac-10186
"hazerswoude",http://cedar.example.org/ns#ac-11257
"hedel",http://cedar.example.org/ns#ac-10982
"hedikhuizen",http://cedar.example.org/ns#ac-11130
"heeg",http://cedar.example.org/ns#ac-10975
"heel",http://cedar.example.org/ns#ac-11208
"heel en panheel",http://cedar.example.org/ns#ac-11208
"heemskerk",http://cedar.example.org/ns#ac-10679
"heemstede",http://cedar.example.org/ns#ac-11288
"heenvliet",http://cedar.example.org/ns#ac-10823
"heer",http://cedar.example.org/ns#ac-11407
